时间,="商品房销售面积累计",="商品房销售额累计",="商品房销售面积增长率",="商品房销售额增长率"
2021-12-31,1794334099,18192994940000,0.019,0.048
2021-11-30,1581307308,16166670259999.998,0.048,0.085
2021-10-31,1430407145,14718465670000,0.073,0.11800000000000001
2021-09-30,1303317755,13479492929999.998,0.113,0.166
2021-08-31,1141928088,11904686280000,0.159,0.228
2021-07-31,1016481757.0000001,10643042500000,0.215,0.307
2021-06-30,886353483,9293130740000,0.277,0.389
2021-05-31,663833227,7053369809999.999,0.363,0.524
2021-04-30,503050040,5360915290000,0.48100000000000004,0.682
2021-03-31,360070483,3837779240000,0.638,0.885
2021-02-28,173631372,1915073809999.9998,1.0490000000000002,1.334
2020-12-31,1760862217,17361265890000,0.026000000000000002,0.087
2020-11-30,1508344469.9999998,14896873360000,0.013000000000000001,0.07200000000000001
2020-10-31,1332938020,13166508730000.002,0,0.057999999999999996
2020-09-30,1170726729,11564728980000,-0.018000000000000002,0.037000000000000005
2020-08-31,984859545.0000001,9694253960000,-0.033,0.016
2020-07-31,836313619.9999999,8142202980000,-0.057999999999999996,-0.021
2020-06-30,694036779,6689456890000,-0.084,-0.054000000000000006
2020-05-31,487029687,4626948010000,-0.12300000000000001,-0.106
2020-04-30,339725809,3186309030000,-0.193,-0.18600000000000003
2020-03-31,219783239,2036486209999.9998,-0.263,-0.247
2020-02-29,84749500,820346930000.0001,-0.399,-0.359
2019-12-31,1715578676,15972512229999.998,-0.001,0.065
2019-11-30,1489050174.9999998,13900577820000,0.002,0.073
2019-10-31,1332506792.0000002,12441724480000,0.001,0.073
2019-09-30,1191785328,11149128500000,-0.001,0.071
2019-08-31,1018485612,9537294940000,-0.006,0.067
2019-07-31,887829143,8316234789999.999,-0.013000000000000001,0.062000000000000006
2019-06-30,757855907,7069805860000,-0.018000000000000002,0.055999999999999994
2019-05-31,555180532,5177282940000,-0.016,0.061
2019-04-30,420854519,3914087270000,-0.003,0.081
2019-03-31,298289410,2703876930000,-0.009000000000000001,0.055999999999999994
2019-02-28,141021450,1280334320000,-0.036000000000000004,0.027999999999999997
2018-12-31,1716543616,14997273740000.002,0.013000000000000001,0.122
2018-11-30,1486039296,12950809560000,0.013999999999999999,0.121
2018-10-31,1331168536,11591367150000,0.022000000000000002,0.125
2018-09-30,1193127747,10413223120000,0.028999999999999998,0.133
2018-08-31,1024735269,8939601240000,0.04,0.145
2018-07-31,899895301.9999999,7830014880000,0.042,0.14400000000000002
2018-06-30,771432816,6694522950000,0.033,0.132
2018-05-31,564090927,4877757050000,0.028999999999999998,0.11800000000000001
2018-04-30,421920576,3622248169999.9995,0.013000000000000001,0.09
2018-03-31,300884018,2559718380000,0.036000000000000004,0.10400000000000001
2018-02-28,146326386,1245364900000,0.040999999999999995,0.153
2017-12-31,1694078154,13370130640000,0.077,0.13699999999999998
2017-11-30,1465683193,11548059790000,0.079,0.127
2017-10-31,1302538960,10299034280000,0.08199999999999999,0.126
2017-09-30,1160061630,9190353350000,0.10300000000000001,0.146
2017-08-31,985390236,7809559160000,0.127,0.172
2017-07-31,863508887,6846136310000,0.14,0.189
2017-06-30,746617025,5915182900000,0.161,0.215
2017-05-31,548204995,4363172840000,0.14300000000000002,0.18600000000000003
2017-04-30,416551535,3322261400000,0.157,0.201
2017-03-31,290348485,2318225280000,0.195,0.251
2017-02-28,140543393,1080553580000,0.251,0.26
2016-12-31,1573490000,11762700000000,0.225,0.348
