时间,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),股息率市值加权
2022-01-26,4712.31,,51291587081125.2,39505106140831,0.022
2022-01-25,4678.45,6204.24,50929785062555.83,39233154610197,0.0221
2022-01-24,4786.74,6347.85,52059104227407.87,40099147006023,0.0216
2022-01-21,4779.31,6338,51997621273150.805,40036085825441,0.0217
2022-01-20,4823.51,6396.61,52473283000283.53,40402140183245,0.0215
2022-01-19,4780.38,6339.41,52037427768528.05,40046931541417,0.0216
2022-01-18,4813.35,6383.13,52337349423907.77,40256739989617,0.0215
2022-01-17,4767.28,6322.04,51748722219066.086,39804283998339,0.0218
2022-01-14,4726.73,6268.27,51429923711322.55,39539442741369,0.0219
2022-01-13,4765.92,6320.24,51976179736499.28,39935467815019,0.0217
2022-01-12,4845.58,6425.88,52641395547227.47,40499888948551,0.0214
2022-01-11,4797.77,6362.48,52201804876266.33,40123527964463,0.0216
2022-01-10,4844.05,6423.84,52654584393774.8,40476853727043,0.0214
2022-01-07,4822.37,6395.1,52454938104844.27,40318396437666,0.0215
2022-01-06,4818.23,6389.61,52295871872502.336,40226715150551,0.0215
2022-01-05,4868.12,6455.77,52751565521387.55,40614430878026,0.0213
2022-01-04,4917.77,6521.61,53123097779059.9,40933055392849,0.0212
2021-12-31,4940.37,6551.59,53254166555172.33,41063799310065,0.0211
2021-12-30,4921.51,6526.57,53070909050897.27,40922002951472,0.0212
2021-12-29,4883.48,6476.14,52766914594005.44,40652296342966,0.0213
2021-12-28,4955.96,6572.26,53457813338365.37,41236215119241,0.0211
2021-12-27,4919.32,6523.67,53153333885489.22,40985771285353,0.0212
2021-12-24,4921.34,6526.35,53181860768305.53,41007041714799,0.0212
2021-12-23,4948.74,6562.68,53441536155182.92,41195208506955,0.0211
2021-12-22,4914.45,6517.22,53062523070931.07,40871854000885,0.0212
2021-12-21,4913.49,6515.93,53090706539700.67,40860611200395,0.0212
2021-12-20,4880.42,6472.08,52709997093279.73,40585441320485,0.0214
2021-12-17,4954.76,6570.67,53377976412799.195,41101822931474,0.0211
2021-12-16,5034.73,6676.72,54121792517695.02,41715776373466,0.0208
2021-12-15,5005.9,6638.48,53791634445455.336,41457573553808,0.0209
2021-12-14,5049.7,6696.56,54165904300871.41,41759785331851,0.0208
2021-12-13,5083.8,6741.79,54574126282167.48,42035696115202,0.0206
2021-12-10,5055.12,6703.75,49945760286024.164,39520964736913,0.0226
2021-12-09,5078.69,6735.01,50178166440321.09,39714665570751,0.0225
2021-12-08,4995.93,6625.25,49416615714326.42,39110375910410,0.0228
2021-12-07,4922.1,6527.34,48808667187531.73,38393625396308,0.0231
2021-12-06,4892.62,6488.25,48536090923454.91,38168273587830,0.0233
2021-12-03,4901.02,6499.38,48605609642323.03,38221251278532,0.0232
2021-12-02,4856.16,6439.9,48180425903577.37,37850055473969,0.0234
2021-12-01,4843.85,6423.57,48045436434951.3,37744110964000,0.0235
2021-11-30,4832.03,6407.89,47853906968120.98,37585702405636,0.0236
2021-11-29,4851.42,6433.61,47978995651690.52,37718115465145,0.0235
2021-11-26,4860.13,6445.15,48100778404433.18,37826030814922,0.0235
2021-11-25,4896.44,6493.31,48479166995394.27,38112631827148,0.0233
2021-11-24,4916.66,6520.12,48682691212422.66,38273572562431,0.0232
2021-11-23,4913.35,6515.73,48622616165914.37,38208072083216,0.0232
2021-11-22,4912.4,6514.47,48607966789384.7,38188086563818,0.0232
2021-11-19,4890.06,6484.85,48416170952643.85,38040820087439,0.0233
2021-11-18,4837.62,6415.21,47899869400339.62,37627006216447,0.0236
2021-11-17,4885.75,6478.98,48283709168209.98,37946244522959,0.0234
2021-11-16,4883.32,6475.45,48250429649409.72,37922426446410,0.0234
2021-11-15,4882.38,6474.2,48254482135995.53,37783829088843,0.0234
2021-11-12,4888.37,6482.15,48319249035609.055,37825678913183,0.0234
2021-11-11,4898.65,6495.78,48437076642308.86,37901096712179,0.0233
2021-11-10,4821.19,6393.06,47747549868558.484,37358024013254,0.0236
2021-11-09,4846.74,6426.95,48030237418389.305,37574780086010,0.0235
2021-11-08,4848.18,6428.69,48053985843033.31,37611161124238,0.0235
2021-11-05,4842.35,6420.95,47972168187730.234,37569272624194,0.0235
2021-11-04,4868.74,6455.95,48266027471685.02,37789348703180,0.0234
2021-11-03,4821.11,6392.79,47876643753531.91,37468892590211,0.0236
2021-11-02,4839.85,6417.63,48070638681107.22,37612923049372,0.0235
2021-11-01,4890.69,6485.05,48576138204173.25,38012869658721,0.0232
2021-10-29,4908.77,6509.03,48739558339111,38194709732832,0.0232
