时间,收盘点位,市值(元),流通市值(元),股息率市值加权
2022/1/25,5531.87510 ,91749112038704.40000 ,70145386026413.00000 ,0.01690 
2022/1/24,5704.38870 ,94453993076912.70000 ,72194160656052.00000 ,0.01640 
2022/1/21,5695.01720 ,94322068716389.80000 ,72052691058885.00000 ,0.01640 
2022/1/20,5756.51590 ,95359460371215.50000 ,72775709257643.00000 ,0.01620 
2022/1/19,5784.11560 ,95732459296246.20000 ,73008093356449.00000 ,0.01620 
2022/1/18,5823.32900 ,96308425795247.80000 ,73409411436068.00000 ,0.01610 
2022/1/17,5814.10590 ,95994175140920.00000 ,73101636143880.00000 ,0.01610 
2022/1/14,5746.22610 ,95094702195026.50000 ,72373878455310.00000 ,0.01630 
2022/1/13,5768.85100 ,95632275385621.20000 ,72804765377960.00000 ,0.01620 
2022/1/12,5857.30650 ,96893900429835.00000 ,73786193372505.00000 ,0.01600 
2022/1/11,5787.49220 ,95881613415286.70000 ,72989980157576.00000 ,0.01610 
2022/1/10,5839.63620 ,96689072250642.40000 ,73594423179256.00000 ,0.01600 
2022/1/7,5811.61270 ,96234149724694.80000 ,73260387803887.00000 ,0.01610 
2022/1/6,5855.53220 ,96739601481596.40000 ,73655712460117.00000 ,0.01600 
2022/1/5,5868.57730 ,96917450479460.10000 ,73825630887979.00000 ,0.01600 
2022/1/4,5958.74240 ,98167257620288.00000 ,74786302195741.00000 ,0.01580 
2021/12/31,5969.80010 ,98296578566015.50000 ,74853224783863.00000 ,0.01570 
2021/12/30,5935.27190 ,97717734042523.80000 ,74395367483484.00000 ,0.01580 
2021/12/29,5885.30730 ,97020406826653.30000 ,73837136893562.00000 ,0.01600 
2021/12/28,5939.41530 ,97843686313994.80000 ,74522928883653.00000 ,0.01580 
2021/12/27,5897.15790 ,97281178802411.40000 ,74061681971316.00000 ,0.01590 
2021/12/24,5896.63850 ,97282405482457.10000 ,74038902841650.00000 ,0.01590 
2021/12/23,5959.15740 ,98246059340521.30000 ,74694604072901.00000 ,0.01580 
2021/12/22,5937.92970 ,97830903038873.20000 ,74295463071662.00000 ,0.01580 
2021/12/21,5918.81920 ,97623609675443.90000 ,74081774221749.00000 ,0.01590 
2021/12/20,5860.26690 ,96700237669216.50000 ,73374880410053.00000 ,0.01600 
2021/12/17,5951.28600 ,98019641691943.90000 ,74342714837694.00000 ,0.01580 
2021/12/16,6031.25130 ,99232862269350.20000 ,75266992818183.00000 ,0.01560 
2021/12/15,5992.04690 ,98508378738272.00000 ,74697234152307.00000 ,0.01570 
2021/12/14,6021.93750 ,98881688380098.10000 ,74989559470437.00000 ,0.01570 
2021/12/13,6043.27890 ,99264301605655.60000 ,75270843384657.00000 ,0.01560 
2021/12/10,6008.62100 ,95796355772721.10000 ,74504669567251.00000 ,0.01610 
2021/12/9,6015.09000 ,95833678536126.10000 ,74556395548369.00000 ,0.01610 
2021/12/8,5960.45400 ,94924719391187.70000 ,73857396092810.00000 ,0.01630 
2021/12/7,5869.69310 ,93647092245891.60000 ,72614723542207.00000 ,0.01650 
2021/12/6,5887.76990 ,93824405554822.90000 ,72752872850293.00000 ,0.01650 
2021/12/3,5935.40120 ,94514460687713.90000 ,73224767887912.00000 ,0.01630 
2021/12/2,5887.00100 ,93737357631394.50000 ,72580766000070.00000 ,0.01650 
2021/12/1,5906.54920 ,94010698320874.80000 ,72747440564835.00000 ,0.01640 
2021/11/30,5891.44790 ,93706470092705.20000 ,72479111967459.00000 ,0.01650 
2021/11/29,5887.00260 ,93641887840889.70000 ,72439742581165.00000 ,0.01650 
2021/11/26,5876.01710 ,93519665635757.80000 ,72349595598328.00000 ,0.01650 
2021/11/25,5897.33360 ,93910363875230.20000 ,72629670820584.00000 ,0.01650 
2021/11/24,5911.97800 ,94188459800768.40000 ,72844131084421.00000 ,0.01640 
2021/11/23,5913.53470 ,94127357285388.70000 ,72776926992299.00000 ,0.01640 
2021/11/22,5914.58170 ,94115881432879.40000 ,72745653945533.00000 ,0.01640 
