date,RF,MKT,SMB,HML
1995/1/3,0.000182,-0.009724203,0.001605119,-0.001591784
1995/1/4,0.000182,0.023003754,-0.004302567,0.006381524
1995/1/5,0.000182,-0.009166381,-0.004227514,0.004423311
1995/1/6,0.000182,-0.007825178,0.003721471,0.00637456
1995/1/9,0.000182,-0.027511626,0.001165193,0.005851101
1995/1/10,0.000182,-0.02841964,0.003651055,0.00273764
1995/1/11,0.000182,0.006876973,-0.003397257,0.004080343
1995/1/12,0.000182,-0.019656471,0.002372224,0.002309631
1995/1/13,0.000182,-0.009658379,0.001320313,-0.001668194
1995/1/16,0.000182,-0.014318415,-0.00582066,-0.019724118
1995/1/17,0.000182,-0.001752966,-0.00235552,0.002205323
1995/1/18,0.000182,0.012601749,0.001230518,0.003554954
1995/1/19,0.000182,-0.041592869,-0.006611874,0.004561878
1995/1/20,0.000182,-0.000255691,0.001279906,-0.001464133
1995/1/23,0.000182,-0.029827604,-0.005253645,-0.005710821
1995/1/24,0.000182,-0.005546821,-0.002216677,0.003657002
1995/1/25,0.000182,0.016003351,0.00290539,0.002120614
1995/1/26,0.000182,-0.006812771,-0.003565139,-0.00314528
1995/1/27,0.000182,0.015444679,-0.001516429,-0.001141266
1995/2/6,0.000182,-0.043923791,-0.002105698,0.018461748
1995/2/7,0.000182,-0.004985398,-0.001237529,0.000896735
1995/2/8,0.000182,0.001870737,0.000280706,0.001540767
1995/2/9,0.000182,0.032808154,-0.00719265,-0.007420569
1995/2/10,0.000182,-0.020691071,0.001655613,0.007328128
1995/2/13,0.000182,0.012495784,-0.004126383,-0.007688889
1995/2/14,0.000182,-0.001927331,-0.003392351,0.001979419
1995/2/15,0.000182,-0.008586879,-0.001524294,0.00170997
1995/2/16,0.000182,-0.011466685,0.000152739,0.00276145
1995/2/17,0.000182,-0.007804349,6.53E-05,0.002954729
1995/2/20,0.000182,0.00245269,-0.001456699,0.000743736
1995/2/21,0.000182,0.010633371,-0.002453118,-0.002960086
1995/2/22,0.000182,0.111777817,0.011839774,-0.008628485
1995/2/23,0.000182,-0.013225142,-0.003208521,-0.000309803
1995/2/24,0.000182,-0.057499603,0.003534948,0.009341689
1995/2/27,0.000182,0.008128687,0.005355713,0.009286535
1995/2/28,0.000182,-0.021993823,-0.005232909,-0.000924006
1995/3/1,0.000182,0.012466958,0.003695483,0.002150847
1995/3/2,0.000182,0.003828816,0.003794765,-0.005125865
1995/3/3,0.000182,0.029830023,0.004401604,-0.00550941
1995/3/6,0.000182,0.062424012,0.010446428,-0.006241429
1995/3/7,0.000182,0.037305069,-0.010951381,-0.014844139
1995/3/8,0.000182,-0.014207045,-0.000636627,0.002407373
1995/3/9,0.000182,-0.02482312,-0.00652415,0.001199373
1995/3/10,0.000182,-0.033622132,-0.004465125,0.005484137
1995/3/13,0.000182,-0.001917864,0.004113556,0.000771342
1995/3/14,0.000182,0.004403161,-0.00225187,-0.002597872
1995/3/15,0.000182,-0.028758239,-0.001442822,0.002037357
1995/3/16,0.000182,0.012743408,0.003844311,-0.001905699
1995/3/17,0.000182,0.023083269,6.60E-06,-0.005500722
1995/3/20,0.000182,-0.016366991,0.005598795,-0.007455546
1995/3/21,0.000182,0.009689821,0.002346304,-0.003589588
1995/3/22,0.000182,0.038715879,-0.001042227,-0.005345004
1995/3/23,0.000182,-0.006984495,0.000991652,-0.002151906
1995/3/24,0.000182,0.000781632,0.001004494,0.00247343
1995/3/27,0.000182,0.024948627,0.003415606,-0.009149931
1995/3/28,0.000182,-0.008600635,-0.003787077,-0.002453184
1995/3/29,0.000182,0.01490656,0.005497683,0.003132276
1995/3/30,0.000182,-0.009841018,-0.007079047,-0.010817573
