时间,一年期收益率,三年期收益率,五年期收益率,十年期收益率
2022/1/25,0.019656,0.02261,0.024006,0.026979
2022/1/24,0.019502,0.022188,0.023527,0.026751
2022/1/21,0.020018,0.022614,0.024295,0.0271
2022/1/20,0.020204,0.023038,0.024745,0.027271
2022/1/19,0.020401,0.02332,0.024895,0.027314
2022/1/18,0.020501,0.023542,0.024895,0.027415
2022/1/17,0.021566,0.024162,0.025922,0.02786
2022/1/14,0.021721,0.024298,0.026125,0.027935
2022/1/13,0.021812,0.024266,0.026026,0.027858
2022/1/12,0.021898,0.024231,0.026104,0.027957
2022/1/11,0.021957,0.024229,0.026096,0.027957
2022/1/10,0.022143,0.024513,0.026281,0.028056
2022/1/7,0.022295,0.024734,0.026544,0.028181
2022/1/6,0.022303,0.024812,0.026585,0.028205
2022/1/5,0.022284,0.02449,0.026423,0.028045
2022/1/4,0.022529,0.024438,0.026127,0.027855
2021/12/31,0.022429,0.024584,0.026092,0.027754
2021/12/30,0.022936,0.024614,0.026026,0.027654
2021/12/29,0.023353,0.025066,0.026272,0.027854
2021/12/28,0.023444,0.025308,0.026565,0.028004
2021/12/27,0.023541,0.025445,0.026713,0.028128
2021/12/24,0.023386,0.025596,0.026855,0.028203
2021/12/23,0.023336,0.025463,0.026755,0.028143
2021/12/22,0.023657,0.025755,0.027024,0.028303
2021/12/21,0.023828,0.025893,0.02722,0.028508
2021/12/20,0.023572,0.025918,0.027276,0.028533
2021/12/17,0.023209,0.025726,0.027163,0.028512
2021/12/16,0.023108,0.025733,0.027076,0.028577
2021/12/15,0.023101,0.025686,0.027023,0.028502
2021/12/14,0.02298,0.025751,0.027035,0.028477
2021/12/13,0.023015,0.025877,0.027232,0.028552
2021/12/10,0.022767,0.025956,0.027236,0.028426
2021/12/9,0.022767,0.026113,0.027325,0.028526
2021/12/8,0.022658,0.026136,0.0274,0.028551
2021/12/7,0.02251,0.02603,0.027301,0.028451
2021/12/6,0.022452,0.025842,0.027015,0.028176
2021/12/3,0.02255,0.02624,0.027573,0.028701
2021/12/2,0.022446,0.026148,0.027444,0.028601
2021/12/1,0.022443,0.025999,0.027129,0.028401
2021/11/30,0.022463,0.025864,0.02692,0.02825
2021/11/29,0.02246,0.025703,0.026854,0.02825
2021/11/26,0.022427,0.025549,0.026781,0.0282
2021/11/25,0.022477,0.025794,0.027087,0.02855
2021/11/24,0.022426,0.025768,0.02714,0.0286
2021/11/23,0.0225,0.026067,0.027464,0.028875
2021/11/22,0.022523,0.025981,0.027443,0.028876
2021/11/19,0.022618,0.026149,0.027608,0.029302
2021/11/18,0.022716,0.02607,0.027442,0.029146
2021/11/17,0.022814,0.026118,0.027551,0.029295
2021/11/16,0.022688,0.026057,0.027499,0.029244
2021/11/15,0.022737,0.026129,0.02757,0.029269
2021/11/12,0.022759,0.026373,0.027705,0.029391
2021/11/11,0.022907,0.026424,0.027698,0.029365
2021/11/10,0.022906,0.026248,0.027547,0.029139
2021/11/9,0.022905,0.02623,0.02749,0.028988
2021/11/8,0.022804,0.026206,0.02741,0.029013
2021/11/5,0.022852,0.026111,0.027299,0.028911
2021/11/4,0.023002,0.026382,0.027759,0.029261
2021/11/3,0.023001,0.026568,0.027986,0.029385
2021/11/2,0.023051,0.026436,0.027831,0.029259
2021/11/1,0.023151,0.026684,0.028134,0.029435
2021/10/29,0.0231,0.026857,0.028438,0.029732
2021/10/28,0.023375,0.026718,0.028365,0.029682
2021/10/27,0.023375,0.026742,0.02847,0.029781
2021/10/26,0.023425,0.026625,0.028396,0.02978
2021/10/25,0.023438,0.026617,0.028526,0.029879
2021/10/22,0.023475,0.026556,0.028496,0.029953
2021/10/21,0.023574,0.026525,0.028359,0.029702
2021/10/20,0.023819,0.026869,0.028625,0.029978
2021/10/19,0.023771,0.027126,0.028763,0.030102
2021/10/18,0.023727,0.027337,0.028908,0.030426
2021/10/15,0.023361,0.026459,0.028155,0.029683
2021/10/14,0.023325,0.026406,0.02805,0.029581
2021/10/13,0.023401,0.026284,0.028005,0.029578
2021/10/12,0.023467,0.025986,0.027994,0.029657
2021/10/11,0.02349,0.025838,0.027895,0.02958
2021/10/9,0.023252,0.025421,0.027485,0.029186
2021/10/8,0.02344,0.025453,0.027429,0.029131
