时间,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),股息率市值加权
2022/1/25,4678.45,6204.24000 ,50929754841246.70000 ,39233058905583.00000 ,0.02210 
2022/1/24,4786.74,6347.85000 ,52059104227407.80000 ,40099147006023.00000 ,0.02160 
2022/1/21,4779.31,6338.00000 ,51997621273150.80000 ,40036085825441.00000 ,0.02170 
2022/1/20,4823.51,6396.61000 ,52473283000283.50000 ,40402140183245.00000 ,0.02150 
2022/1/19,4780.38,6339.41000 ,52037427768528.00000 ,40046931541417.00000 ,0.02160 
2022/1/18,4813.35,6383.13000 ,52337349423907.70000 ,40256739989617.00000 ,0.02150 
2022/1/17,4767.28,6322.04000 ,51748722219066.00000 ,39804283998339.00000 ,0.02180 
2022/1/14,4726.73,6268.27000 ,51429923711322.50000 ,39539442741369.00000 ,0.02190 
2022/1/13,4765.92,6320.24000 ,51976179736499.20000 ,39935467815019.00000 ,0.02170 
2022/1/12,4845.58,6425.88000 ,52641395547227.40000 ,40499888948551.00000 ,0.02140 
2022/1/11,4797.77,6362.48000 ,52201804876266.30000 ,40123527964463.00000 ,0.02160 
2022/1/10,4844.05,6423.84000 ,52654584393774.80000 ,40476853727043.00000 ,0.02140 
2022/1/7,4822.37,6395.10000 ,52454938104844.20000 ,40318396437666.00000 ,0.02150 
2022/1/6,4818.23,6389.61000 ,52295871872502.30000 ,40226715150551.00000 ,0.02150 
2022/1/5,4868.12,6455.77000 ,52751565521387.50000 ,40614430878026.00000 ,0.02130 
2022/1/4,4917.77,6521.61000 ,53123097779059.90000 ,40933055392849.00000 ,0.02120 
2021/12/31,4940.37,6551.59000 ,53254166555172.30000 ,41063799310065.00000 ,0.02110 
2021/12/30,4921.51,6526.57000 ,53070909050897.20000 ,40922002951472.00000 ,0.02120 
2021/12/29,4883.48,6476.14000 ,52766914594005.40000 ,40652296342966.00000 ,0.02130 
2021/12/28,4955.96,6572.26000 ,53457813338365.30000 ,41236215119241.00000 ,0.02110 
2021/12/27,4919.32,6523.67000 ,53153333885489.20000 ,40985771285353.00000 ,0.02120 
2021/12/24,4921.34,6526.35000 ,53181860768305.50000 ,41007041714799.00000 ,0.02120 
2021/12/23,4948.74,6562.68000 ,53441536155182.90000 ,41195208506955.00000 ,0.02110 
2021/12/22,4914.45,6517.22000 ,53062523070931.00000 ,40871854000885.00000 ,0.02120 
2021/12/21,4913.49,6515.93000 ,53090706539700.60000 ,40860611200395.00000 ,0.02120 
2021/12/20,4880.42,6472.08000 ,52709997093279.70000 ,40585441320485.00000 ,0.02140 
2021/12/17,4954.76,6570.67000 ,53377976412799.10000 ,41101822931474.00000 ,0.02110 
2021/12/16,5034.73,6676.72000 ,54121792517695.00000 ,41715776373466.00000 ,0.02080 
2021/12/15,5005.9,6638.48000 ,53791634445455.30000 ,41457573553808.00000 ,0.02090 
2021/12/14,5049.7,6696.56000 ,54165904300871.40000 ,41759785331851.00000 ,0.02080 
2021/12/13,5083.8,6741.79000 ,54574126282167.40000 ,42035696115202.00000 ,0.02060 
2021/12/10,5055.12,6703.75000 ,49945760286024.10000 ,39520964736913.00000 ,0.02260 
2021/12/9,5078.69,6735.01000 ,50178166440321.00000 ,39714665570751.00000 ,0.02250 
2021/12/8,4995.93,6625.25000 ,49416615714326.40000 ,39110375910410.00000 ,0.02280 
2021/12/7,4922.1,6527.34000 ,48808667187531.70000 ,38393625396308.00000 ,0.02310 
2021/12/6,4892.62,6488.25000 ,48536090923454.90000 ,38168273587830.00000 ,0.02330 
2021/12/3,4901.02,6499.38000 ,48605609642323.00000 ,38221251278532.00000 ,0.02320 
2021/12/2,4856.16,6439.90000 ,48180425903577.30000 ,37850055473969.00000 ,0.02340 
2021/12/1,4843.85,6423.57000 ,48045436434951.30000 ,37744110964000.00000 ,0.02350 
2021/11/30,4832.03,6407.89000 ,47853906968120.90000 ,37585702405636.00000 ,0.02360 
2021/11/29,4851.42,6433.61000 ,47978995651690.50000 ,37718115465145.00000 ,0.02350 
2021/11/26,4860.13,6445.15000 ,48100778404433.10000 ,37826030814922.00000 ,0.02350 
2021/11/25,4896.44,6493.31000 ,48479166995394.20000 ,38112631827148.00000 ,0.02330 
2021/11/24,4916.66,6520.12000 ,48682691212422.60000 ,38273572562431.00000 ,0.02320 
2021/11/23,4913.35,6515.73000 ,48622616165914.30000 ,38208072083216.00000 ,0.02320 
2021/11/22,4912.4,6514.47000 ,48607966789384.70000 ,38188086563818.00000 ,0.02320 
2021/11/19,4890.06,6484.85000 ,48416170952643.80000 ,38040820087439.00000 ,0.02330 
2021/11/18,4837.62,6415.21000 ,47899869400339.60000 ,37627006216447.00000 ,0.02360 
2021/11/17,4885.75,6478.98000 ,48283709168209.90000 ,37946244522959.00000 ,0.02340 
2021/11/16,4883.32,6475.45000 ,48250429649409.70000 ,37922426446410.00000 ,0.02340 
2021/11/15,4882.38,6474.20000 ,48254482135995.50000 ,37783829088843.00000 ,0.02340 
2021/11/12,4888.37,6482.15000 ,48319249035609.00000 ,37825678913183.00000 ,0.02340 
2021/11/11,4898.65,6495.78000 ,48437076642308.80000 ,37901096712179.00000 ,0.02330 
2021/11/10,4821.19,6393.06000 ,47747549868558.40000 ,37358024013254.00000 ,0.02360 
2021/11/9,4846.74,6426.95000 ,48030237418389.30000 ,37574780086010.00000 ,0.02350 
2021/11/8,4848.18,6428.69000 ,48053985843033.30000 ,37611161124238.00000 ,0.02350 
2021/11/5,4842.35,6420.95000 ,47972168187730.20000 ,37569272624194.00000 ,0.02350 
2021/11/4,4868.74,6455.95000 ,48266027471685.00000 ,37789348703180.00000 ,0.02340 
2021/11/3,4821.11,6392.79000 ,47876643753531.90000 ,37468892590211.00000 ,0.02360 
2021/11/2,4839.85,6417.63000 ,48070638681107.20000 ,37612923049372.00000 ,0.02350 
2021/11/1,4890.69,6485.05000 ,48576138204173.20000 ,38012869658721.00000 ,0.02320 
2021/10/29,4908.77,6509.03000 ,48739558339111.00000 ,38194709732832.00000 ,0.02320 
2021/10/28,4864.14,6449.85000 ,48426044339220.10000 ,37929490190972.00000 ,0.02330 
2021/10/27,4898.16,6494.97000 ,48892692081768.30000 ,38274106356750.00000 ,0.02310 
2021/10/26,4963.1,6581.07000 ,49459661484387.50000 ,38712218274521.00000 ,0.02280 
2021/10/25,4979.52,6602.85000 ,49650497607847.30000 ,38838739283308.00000 ,0.02290 
2021/10/22,4959.73,6573.54000 ,49407594459878.90000 ,38652495490525.00000 ,0.02300 
2021/10/21,4928.02,6530.53000 ,49237958013519.60000 ,38506374604432.00000 ,0.02310 
2021/10/20,4910.18,6506.78000 ,49017567437814.90000 ,38355819372838.00000 ,0.02320 
2021/10/19,4922.72,6523.40000 ,49176208122890.10000 ,38470781207428.00000 ,0.02310 
2021/10/18,4874.78,6459.86000 ,48765376779298.00000 ,38139491328717.00000 ,0.02330 
2021/10/15,4932.11,6535.84000 ,49193108164764.00000 ,38532312757691.00000 ,0.02320 
2021/10/14,4913.61,6510.34000 ,48996338181620.20000 ,38363457672942.00000 ,0.02330 
2021/10/13,4940.11,6545.44000 ,49204154644182.60000 ,38552624912258.00000 ,0.02320 
2021/10/12,4883.84,6470.88000 ,48861959886936.70000 ,38242307078021.00000 ,0.02340 
2021/10/11,4936.19,6540.25000 ,49352179694887.80000 ,38601615172131.00000 ,0.02320 
2021/10/8,4929.94,6531.97000 ,49234823790150.90000 ,38527597984968.00000 ,0.02320 
2021/9/30,4866.38,6447.75000 ,48594336464427.40000 ,38029108814846.00000 ,0.02360 
2021/9/29,4833.93,6404.75000 ,48353279509494.90000 ,37808796849468.00000 ,0.02370 
2021/9/28,4883.83,6470.83000 ,48900095338254.60000 ,38253614893730.00000 ,0.02340 
2021/9/27,4877.37,6462.27000 ,48707968814259.90000 ,38141982206431.00000 ,0.02350 
2021/9/24,4849.43,6425.25000 ,48507932682493.40000 ,37862703482528.00000 ,0.02360 
2021/9/23,4853.2,6430.24000 ,48647772048301.00000 ,37927648025986.00000 ,0.02350 
2021/9/22,4821.77,6388.60000 ,48385523089458.00000 ,37735539549961.00000 ,0.02370 
2021/9/17,4855.94,6433.84000 ,48606726503874.90000 ,37830452153030.00000 ,0.02360 
2021/9/16,4807.7,6368.82000 ,48282181872554.80000 ,37553308009241.00000 ,0.02370 
2021/9/15,4867.32,6447.80000 ,48837948510905.80000 ,37958865807970.00000 ,0.02350 
2021/9/14,4917.16,6513.83000 ,49248747138394.00000 ,38287230608058.00000 ,0.02330 
2021/9/13,4991.66,6612.52000 ,49984108916900.50000 ,38817608654991.00000 ,0.02290 
2021/9/10,5013.52,6641.48000 ,49998010535479.10000 ,38866204864147.00000 ,0.02290 
2021/9/9,4970.01,6583.84000 ,49699952967186.20000 ,38587370734237.00000 ,0.02310 
2021/9/8,4972.13,6586.65000 ,49594285613899.80000 ,38500762755782.00000 ,0.02310 
2021/9/7,4992.83,6614.07000 ,49695224707092.10000 ,38617395138074.00000 ,0.02310 
2021/9/6,4933.73,6535.77000 ,49123837330709.10000 ,38154863776197.00000 ,0.02330 
2021/9/3,4843.06,6415.67000 ,48338553529403.10000 ,37537739098662.00000 ,0.02370 
2021/9/2,4869.41,6450.57000 ,48508696639216.80000 ,37677756788846.00000 ,0.02360 
2021/9/1,4869.46,6450.64000 ,48461403844967.40000 ,37608103720780.00000 ,0.02370 
2021/8/31,4805.61,6366.06000 ,47795817236438.50000 ,37090404442920.00000 ,0.02400 
2021/8/30,4813.27,6376.20000 ,47669808821596.20000 ,37050073270753.00000 ,0.02400 
2021/8/27,4827.04,6394.45000 ,47805260132162.70000 ,37120315713001.00000 ,0.02350 
2021/8/26,4801.61,6360.39000 ,47562781571250.90000 ,36912553575693.00000 ,0.02340 
2021/8/25,4898.16,6488.28000 ,48393613484608.40000 ,37583313061677.00000 ,0.02300 
2021/8/24,4888.39,6472.27000 ,48268320650853.60000 ,37434915124060.00000 ,0.02300 
2021/8/23,4835.88,6402.75000 ,47812932985261.00000 ,37038394132885.00000 ,0.02330 
2021/8/20,4769.27,6309.78000 ,47245529079226.00000 ,36590114725379.00000 ,0.02350 
2021/8/19,4862.14,6430.05000 ,47974061027957.10000 ,37237390363444.00000 ,0.02320 
2021/8/18,4894.24,6472.36000 ,48347084396331.90000 ,37505993060024.00000 ,0.02300 
2021/8/17,4837.4,6396.86000 ,47737926297860.40000 ,37023199790733.00000 ,0.02330 
2021/8/16,4941.07,6533.72000 ,48629300074954.10000 ,37756173178720.00000 ,0.02280 
2021/8/13,4945.98,6538.52000 ,48622542099273.50000 ,37749375192536.00000 ,0.02280 
2021/8/12,4973.35,6573.99000 ,48863380142208.20000 ,37885376912559.00000 ,0.02270 
2021/8/11,5015.34,6629.44000 ,49174214672010.20000 ,38175305698019.00000 ,0.02260 
2021/8/10,5043.15,6666.18000 ,49287360912740.80000 ,38328559049920.00000 ,0.02250 
2021/8/9,4985.56,6589.97000 ,48758835633690.70000 ,37860584708143.00000 ,0.02280 
2021/8/6,4921.56,6505.27000 ,48165629031890.70000 ,37368333748132.00000 ,0.02310 
2021/8/5,4948.67,6539.88000 ,48379593996367.30000 ,37540634089756.00000 ,0.02300 
2021/8/4,4978.85,6579.57000 ,48664593974146.60000 ,37762713556584.00000 ,0.02280 
